cod_proposta,cod_cliente,cod_colaborador,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta
337,566,3,2022-12-18 20:55:58 UTC,0.008,69848.70972,127319.85,57471.14028,2628.106697,30,4,Aprovada
987,815,36,2022-12-16 15:39:28 UTC,0.011,118495.6931,203830.96,85335.26695,2137.865502,86,1,Validação dos Documentos
1089,539,24,2022-12-15 03:49:02 UTC,0.0234,188744.6286,235327.59,46582.9614,5980.018991,58,5,Aprovada
1240,473,71,2022-12-13 23:09:30 UTC,0.0135,133818.6949,161455.28,27636.58514,7360.850366,21,0,Enviada
591,8,73,2022-12-07 22:35:16 UTC,0.0151,13738.99612,19634.77,5895.773877,293.2699989,82,4,Aprovada
336,218,27,2022-12-07 00:48:42 UTC,0.0087,16572.91637,27027.59,10454.67363,272.3834522,87,3,Em Análise
1259,174,33,2022-12-05 14:25:10 UTC,0.0237,17247.54181,34326.14,17078.59819,1137.973971,19,6,Em Análise
1756,735,75,2022-11-29 10:16:17 UTC,0.0154,63844.52125,105904.92,42060.39875,1865.349495,49,2,Aprovada
1820,358,27,2022-11-26 09:59:44 UTC,0.0245,21065.28478,25728.28,4662.995222,587.6434665,87,0,Enviada
841,266,32,2022-11-25 04:38:38 UTC,0.022,97160.59482,175982.06,78821.46518,3297.896485,48,3,Enviada
598,430,27,2022-11-24 12:17:31 UTC,0.023,33410.54921,44022.51,10611.96079,1374.770153,36,1,Enviada
1,335,96,2022-11-23 18:21:09 UTC,0.0235,10408.0658,16083.99,5675.924195,265.7168341,109,3,Validação dos Documentos
1001,382,59,2022-11-23 00:22:52 UTC,0.0173,48982.1254,63327.36,14345.2346,1403.084345,54,6,Validação dos Documentos
606,154,12,2022-11-22 08:50:17 UTC,0.0125,158370.2621,210306.08,51935.81788,5886.284517,33,3,Validação dos Documentos
649,608,52,2022-11-22 03:12:33 UTC,0.0238,77533.55315,100233.67,22700.11685,2340.975346,66,0,Aprovada
43,459,66,2022-11-21 14:05:11 UTC,0.0156,156818.4351,196748.06,39929.62493,14430.90268,12,5,Em Análise
1985,803,85,2022-11-20 00:16:28 UTC,0.0157,50587.03274,69413.01,18825.97726,3600.031958,16,2,Em Análise
945,415,76,2022-11-19 07:58:31 UTC,0.0117,160842.7364,220841,59998.26361,12522.30288,14,6,Em Análise
1640,454,53,2022-11-19 04:22:11 UTC,0.0196,135476.4406,174381.78,38905.33936,4225.572161,51,0,Aprovada
